nr	Author	IMR-Sage	REMP-Staatsdrukkerij	IM-Wiley	Dutch_Government	ICEM	REMP	Overlap_IMR_IM
336	Carroll-Seguin, R	1.00	0.00	0.00	0.00	0.00	0.00	0
337	Carron, J	1.00	0.00	0.00	0.00	0.00	0.00	0
338	Carson, M	1.00	0.00	0.00	0.00	0.00	0.00	0
339	Casillas, R	1.00	0.00	0.00	0.00	0.00	0.00	0
340	Castellanos, D	1.00	0.00	0.00	0.00	0.00	0.00	0
341	Castillo, M	1.00	0.00	1.00	0.00	0.00	0.00	1
342	Castles, S	5.00	0.00	1.00	0.00	0.00	0.00	1
343	Cava, F	1.00	0.00	0.00	0.00	0.00	0.00	0
344	Cavelaars, A	0.00	0.00	1.00	0.00	0.00	0.00	0
345	Cebrian, J	1.00	0.00	0.00	0.00	0.00	0.00	0
346	Cebula, R	1.00	0.00	0.00	0.00	0.00	0.00	0
347	Cecil, R	0.00	0.00	2.00	0.00	0.00	0.00	0
348	Cerase, F	13.00	0.00	0.00	0.00	0.00	0.00	0
349	Chaichian, M	1.00	0.00	0.00	0.00	0.00	0.00	0
350	Chakravorti, R	1.00	0.00	0.00	0.00	0.00	0.00	0
351	Chambers, R	1.00	0.00	0.00	0.00	0.00	0.00	0
352	Chamie, J	3.00	0.00	0.00	0.00	0.00	0.00	0
353	Chan, A	1.00	0.00	0.00	0.00	0.00	0.00	0
354	Chan, K	3.00	0.00	0.00	0.00	0.00	0.00	0
355	Chandler, A	1.00	0.00	0.00	0.00	0.00	0.00	0
356	Chaney, E	1.00	0.00	0.00	0.00	0.00	0.00	0
357	Chang, A	2.00	0.00	0.00	0.00	0.00	0.00	0
358	Chang, K	1.00	0.00	0.00	0.00	0.00	0.00	0
359	Chapman, B	1.00	0.00	0.00	0.00	0.00	0.00	0
360	Chapman, M	2.00	0.00	0.00	0.00	0.00	0.00	0
361	Charry-Samper, H	0.00	0.00	1.00	0.00	1.00	0.00	0
362	Chattopadhyay, A	1.00	0.00	0.00	0.00	0.00	0.00	0
363	Chavez, L	1.00	0.00	0.00	0.00	0.00	0.00	0
364	Chen, S	0.00	0.00	2.00	0.00	0.00	0.00	0
365	Cheng, L	3.00	0.00	0.00	0.00	0.00	0.00	0
366	Chepulis, R	1.00	0.00	0.00	0.00	0.00	0.00	0
367	Cheung, Y	1.00	0.00	0.00	0.00	0.00	0.00	0
368	Chi, Y	1.00	0.00	0.00	0.00	0.00	0.00	0
369	Chiari, M	1.00	0.00	0.00	0.00	0.00	0.00	0
370	Chimbos, P	2.00	0.00	0.00	0.00	0.00	0.00	0
371	Chin, C	1.00	0.00	0.00	0.00	0.00	0.00	0
372	Chin, K	1.00	0.00	0.00	0.00	0.00	0.00	0
